SlotID	RoundsPlayed	RoundsWon	CreditsUsed	CreditsWon	PayBackRate	HitRate
Slotdata	1	1	3	1.85185	0.617284	1
Slotdata	2	1	6	1.85185	0.308642	0.5
Slotdata	3	2	9	3.7037	0.411523	0.666667
Slotdata	4	2	12	3.7037	0.308642	0.5
Slotdata	5	2	15	3.7037	0.246914	0.4
Slotdata	6	3	18	5.55556	0.308642	0.5
Slotdata	7	4	21	7.40741	0.352734	0.571429
Slotdata	8	5	24	9.25926	0.385802	0.625
Slotdata	9	6	27	11.1111	0.411523	0.666667
Slotdata	10	6	30	11.1111	0.37037	0.6
Slotdata	11	7	33	12.963	0.392817	0.636364
Slotdata	12	8	36	16.6667	0.462963	0.666667
Slotdata	13	9	39	22.2222	0.569801	0.692308
Slotdata	14	10	42	24.0741	0.573192	0.714286
Slotdata	15	11	45	25.9259	0.576132	0.733333
Slotdata	16	11	48	25.9259	0.540123	0.6875
Slotdata	17	12	51	31.4815	0.617284	0.705882
Slotdata	18	13	54	33.3333	0.617284	0.722222
Slotdata	19	13	57	33.3333	0.584795	0.684211
Slotdata	20	14	60	35.1852	0.58642	0.7
Slotdata	21	15	63	37.037	0.587889	0.714286
Slotdata	22	16	66	38.8889	0.589226	0.727273
Slotdata	23	17	69	42.5926	0.617284	0.73913
Slotdata	24	17	72	42.5926	0.591564	0.708333
Slotdata	25	18	75	46.2963	0.617284	0.72
Slotdata	26	19	78	48.1481	0.617284	0.730769
Slotdata	27	19	81	48.1481	0.594422	0.703704
Slotdata	28	19	84	48.1481	0.573192	0.678571
Slotdata	29	20	87	50	0.574713	0.689655
Slotdata	30	21	90	53.7037	0.596708	0.7
Slotdata	31	22	93	55.5556	0.597372	0.709677
Slotdata	32	23	96	59.2593	0.617284	0.71875
Slotdata	33	24	99	61.1111	0.617284	0.727273
Slotdata	34	25	102	62.963	0.617284	0.735294
Slotdata	35	25	105	62.963	0.599647	0.714286
Slotdata	36	25	108	62.963	0.58299	0.694444
Slotdata	37	25	111	62.963	0.567234	0.675676
Slotdata	38	26	114	66.6667	0.584795	0.684211
Slotdata	39	27	117	70.3704	0.601456	0.692308
Slotdata	40	27	120	70.3704	0.58642	0.675
Slotdata	41	27	123	70.3704	0.572117	0.658537
Slotdata	42	28	126	74.0741	0.587889	0.666667
Slotdata	43	28	129	74.0741	0.574218	0.651163
Slotdata	44	28	132	74.0741	0.561167	0.636364
Slotdata	45	29	135	77.7778	0.576132	0.644444
Slotdata	46	30	138	79.6296	0.577026	0.652174
Slotdata	47	31	141	81.4815	0.577883	0.659574
Slotdata	48	32	144	83.3333	0.578704	0.666667
Slotdata	49	33	147	85.1852	0.579491	0.673469
Slotdata	50	34	150	87.037	0.580247	0.68
Slotdata	51	35	153	88.8889	0.580973	0.686275
Slotdata	52	36	156	92.5926	0.593542	0.692308
Slotdata	53	36	159	92.5926	0.582343	0.679245
Slotdata	54	37	162	142.593	0.880201	0.685185
